dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTm2,96,2023,SRSNet_PSRS_HypernetAF,0.1481,0.2523,0.1477,+0.27,0.2530,-0.29
ETTm2,96,2024,SRSNet_PSRS_HypernetAF,0.1477,0.2523,0.1487,-0.71,0.2538,-0.60
ETTm2,96,2025,SRSNet_PSRS_HypernetAF,0.1480,0.2526,0.1494,-0.92,0.2539,-0.52
ETTm2,720,2021,SRSNet_PSRS_HypernetAF,0.2689,0.3460,0.2673,+0.61,0.3441,+0.56
ETTm2,720,2022,SRSNet_PSRS_HypernetAF,0.2674,0.3432,0.2631,+1.63,0.3436,-0.12
ETTm2,720,2023,SRSNet_PSRS_HypernetAF,0.2699,0.3449,0.2702,-0.11,0.3494,-1.30
ETTm2,720,2024,SRSNet_PSRS_HypernetAF,0.2736,0.3490,0.2780,-1.57,0.3544,-1.52
ETTm2,720,2025,SRSNet_PSRS_HypernetAF,0.2843,0.3563,0.2752,+3.30,0.3489,+2.12
ETTh1,96,2021,SRSNet_PSRS_NoShuffle_HypernetAF,0.4362,0.4534,0.4360,+0.04,0.4531,+0.06
ETTh1,96,2022,SRSNet_PSRS_NoShuffle_HypernetAF,0.4354,0.4527,0.4359,-0.12,0.4523,+0.09
ETTh1,96,2023,SRSNet_PSRS_NoShuffle_HypernetAF,0.4357,0.4533,0.4364,-0.17,0.4534,-0.03
ETTh1,96,2024,SRSNet_PSRS_NoShuffle_HypernetAF,0.4359,0.4533,0.4365,-0.13,0.4535,-0.05
ETTh1,96,2025,SRSNet_PSRS_NoShuffle_HypernetAF,0.4360,0.4526,0.4350,+0.24,0.4531,-0.11
ETTh1,720,2021,SRSNet_PSRS_NoShuffle_HypernetAF,0.6624,0.6070,0.6577,+0.72,0.6025,+0.75
ETTh1,720,2022,SRSNet_PSRS_NoShuffle_HypernetAF,0.6583,0.6040,0.6621,-0.58,0.6065,-0.41
ETTh1,720,2023,SRSNet_PSRS_NoShuffle_HypernetAF,0.6588,0.6061,0.6582,+0.09,0.6033,+0.47
ETTh1,720,2024,SRSNet_PSRS_NoShuffle_HypernetAF,0.6589,0.6036,0.6643,-0.81,0.6065,-0.47
ETTh1,720,2025,SRSNet_PSRS_NoShuffle_HypernetAF,0.6576,0.6035,0.6598,-0.34,0.6039,-0.06
ETTm2,96,2021,SRSNet_PSRS_NoShuffle_HypernetAF,0.1480,0.2522,0.1464,+1.08,0.2515,+0.28
ETTm2,96,2022,SRSNet_PSRS_NoShuffle_HypernetAF,0.1478,0.2520,0.1483,-0.36,0.2525,-0.18
ETTm2,96,2023,SRSNet_PSRS_NoShuffle_HypernetAF,0.1481,0.2523,0.1477,+0.29,0.2530,-0.26
ETTm2,96,2024,SRSNet_PSRS_NoShuffle_HypernetAF,0.1479,0.2522,0.1487,-0.54,0.2538,-0.63
ETTm2,96,2025,SRSNet_PSRS_NoShuffle_HypernetAF,0.1475,0.2518,0.1494,-1.29,0.2539,-0.81
ETTm2,720,2021,SRSNet_PSRS_NoShuffle_HypernetAF,0.2684,0.3464,0.2673,+0.42,0.3441,+0.66
ETTm2,720,2022,SRSNet_PSRS_NoShuffle_HypernetAF,0.2703,0.3492,0.2631,+2.74,0.3436,+1.62
ETTm2,720,2023,SRSNet_PSRS_NoShuffle_HypernetAF,0.2675,0.3449,0.2702,-1.01,0.3494,-1.29
ETTm2,720,2024,SRSNet_PSRS_NoShuffle_HypernetAF,0.2716,0.3495,0.2780,-2.29,0.3544,-1.37
ETTm2,720,2025,SRSNet_PSRS_NoShuffle_HypernetAF,0.2837,0.3556,0.2752,+3.08,0.3489,+1.93
ETTh1,96,2021,SRSNet_RandomSP,0.4356,0.4522,0.4360,-0.09,0.4531,-0.19
ETTh1,96,2022,SRSNet_RandomSP,0.4362,0.4522,0.4359,+0.05,0.4523,-0.01
ETTh1,96,2023,SRSNet_RandomSP,0.4358,0.4521,0.4364,-0.14,0.4534,-0.29
ETTh1,96,2024,SRSNet_RandomSP,0.4362,0.4522,0.4365,-0.09,0.4535,-0.30
ETTh1,96,2025,SRSNet_RandomSP,0.4365,0.4524,0.4350,+0.35,0.4531,-0.16
